agency,sub_agency,calendar_year,amount,sub_type_name,rev_type,sub_type
FAO,FAO,2022,3884354,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,1695167,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,14530,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,3651874,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,556983,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,992884,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,958980,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,4843,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,4843,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,668380,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,33903,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,9687,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,33903,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,4843,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,33903,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,38747,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,3278937,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,237323,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,3976378,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,5676388,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,9687,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,4431651,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,87180,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,4843,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,10703769,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,48433,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,242167,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,237323,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,58120,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,9687,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,4843,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,33903,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,135613,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,67807,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,222793,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,14530,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,14282993,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,121083,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,77493,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,14530,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,4843,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,4843,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,4843,Assessed contributions,Assessed contributions,R01
FAO,FAO,2022,29060,Assessed contributions,Assessed contributions,R01
